Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2
0;1.0;0.0;0.0;0.0;0.0;15.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;38.0;1.0
1;0.86;0.02;0.1111111111111111;0.22934978137994477;0.0;1.0;1.0;0.7;0.23;0.2727272727272727;0.3862029756731953;0.0;20.0;1.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.79;0.24;0.8888888888888888;0.46244411111708383;0.0;29.0;1.0;1.0;0.22;0.4545454545454546;0.4735805384525613;0.0;25.0;1.0
0;0.93;0.0;0.0;0.0;0.0;9.0;1.0;0.5;0.2;0.09090909090909091;0.504447858679132;0.0;35.0;1.0
1;0.93;0.0;0.0;0.0;0.0;17.0;1.0;0.2;0.0;0.0;0.0;0.0;0.0;0.0
1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0
0;1.0;0.0;0.0;0.0;0.0;31.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;17.0;1.0
0;0.79;0.0;0.0;0.5253012111736248;0.0;24.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;42.0;1.0
0;0.79;0.0;0.0;0.0;0.0;32.0;1.0;0.7;0.2;0.09090909090909091;0.504447858679132;0.0;42.0;1.0
1;0.36;0.0;0.0;0.0;0.0;10.0;1.0;0.5;0.24;0.4545454545454546;0.49705628160430404;0.0;3.0;1.0
0;0.93;0.02;0.1111111111111111;0.1313253027934062;0.0;35.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;40.0;1.0
1;0.93;0.0;0.0;0.0;0.0;12.0;1.0;0.8;0.18;0.09090909090909091;0.4540030728112188;0.0;18.0;1.0
0;1.0;0.095;0.4444444444444444;0.2845802443827712;0.0;12.0;1.0;0.9;0.27;0.36363636363636365;0.49723077916334096;0.0;45.0;1.0
1;1.0;0.0;0.0;0.0;0.0;12.0;1.0;1.0;0.165;0.09090909090909091;0.4161694834102839;0.0;30.0;1.0
0;1.0;0.0;0.0;0.0;0.0;14.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
1;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;19.0;1.0;1.0;0.1;0.09090909090909091;0.252223929339566;0.0;24.0;1.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;27.0;1.0;1.0;0.18;0.09090909090909091;0.4540030728112188;0.0;20.0;1.0
0;0.93;0.13;0.6666666666666666;0.32123289371334507;0.0;20.0;1.0;1.0;0.205;0.2727272727272727;0.45111176193597907;0.0;29.0;1.0
1;0.21;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
1;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;9.0;1.0;0.8;0.11;0.09090909090909091;0.2774463222735226;0.0;16.0;1.0
0;0.86;0.0;0.0;0.0;0.0;8.0;1.0;1.0;0.33;0.36363636363636365;0.5055358342110928;0.0;20.0;1.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1;0.71;0.0;0.0;0.0;0.0;10.0;1.0;0.8;0.18;0.09090909090909091;0.4540030728112188;0.0;18.0;1.0
0;0.43;0.0;0.0;0.0;0.0;10.0;1.0;0.8;0.3;0.2727272727272727;0.5101480154120217;0.0;36.0;1.0
1;0.29;0.0;0.0;0.0;0.0;5.9;1.0;0.8;0.02;0.09090909090909091;0.0504447858679132;0.0;0.0;0.0
0;0.86;0.02;0.1111111111111111;0.1313253027934062;0.0;15.0;1.0;1.0;0.33;0.8181818181818182;0.4859366267136967;0.0;35.0;1.0
0;0.79;0.0;0.0;0.0;0.0;27.0;1.0;0.8;0.2;0.09090909090909091;0.504447858679132;0.0;35.0;1.0
1;0.79;0.0;0.0;0.0;0.0;6.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;26.0;1.0
1;0.86;0.0;0.0;0.0;0.0;6.0;1.0;0.7;0.0;0.0;0.0;0.0;3.0;0.0
0;1.0;0.0;0.0;0.0;0.0;3.0;1.0;0.9;0.215;0.18181818181818182;0.46587001795960453;0.0;40.0;1.0
0;1.0;0.04;0.4444444444444444;0.974377108831883;0.0;34.0;1.0;1.0;0.26;0.5454545454545454;0.4940218641121146;0.0;34.0;0.0
1;0.93;0.02;0.1111111111111111;0.1313253027934062;0.0;0.0;1.0;0.5;0.015;0.09090909090909091;0.037833589400934904;0.0;5.0;1.0
0;0.93;0.01;0.1111111111111111;0.0656626513967031;0.0;27.0;1.0;1.0;0.17;0.09090909090909091;0.4287806798772622;0.0;31.0;1.0
0;0.93;0.1;0.5555555555555556;0.28971048378521236;0.0;5.0;1.0;0.8;0.19;0.18181818181818182;0.4524079478151475;0.0;13.5;1.0
1;0.71;0.005;0.1111111111111111;0.9832968344090106;0.0;9.0;1.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0
1;1.0;0.0;0.0;0.0;0.0;11.0;1.0;0.8;0.19;0.09090909090909091;0.4792254657451755;0.0;5.0;1.0
0;0.86;0.03;0.2222222222222222;0.14285714285714288;0.0;13.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;16.0;1.0
1;1.0;0.0;0.0;0.656626513967031;0.0;21.0;1.0;0.8;0.06;0.09090909090909091;0.15133435760373962;0.0;17.0;1.0
0;0.93;0.17800000000000002;0.7777777777777777;0.403705173614631;0.0;23.0;1.0;0.9;0.308;0.8181818181818182;0.4856056534019424;0.0;28.4;1.0
1;0.79;0.0;0.0;0.0;0.0;5.0;1.0;0.6;0.12;0.09090909090909091;0.30266871520747923;0.0;0.0;0.0
0;0.93;0.04;0.4444444444444444;0.2712643790157379;0.01;35.0;1.0;0.6;0.23;0.36363636363636365;0.4990882902937106;0.0;30.0;0.0
1;0.79;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.57;0.0;0.0;0.0;0.0;34.0;1.0;0.3;0.18;0.09090909090909091;0.4540030728112188;0.0;13.0;1.0
0;0.93;0.01;0.1111111111111111;0.0656626513967031;0.01;30.0;1.0;1.1;0.22;0.18181818181818182;0.45603669137794706;0.0;37.0;0.0
0;0.64;0.02;0.2222222222222222;0.08971226080325133;0.01;23.0;1.0;0.9;0.23;0.36363636363636365;0.4990882902937106;0.0;19.0;0.0
1;0.71;0.02;0.1111111111111111;0.1313253027934062;0.0;5.0;1.0;0.9;0.08;0.09090909090909091;0.2017791434716528;0.0;0.0;0.0
1;0.79;0.0;0.0;0.0;0.0;8.0;1.0;0.9;0.155;0.09090909090909091;0.3909470904763273;0.0;21.0;1.0
1;1.0;0.0;0.0;0.0;0.0;19.0;1.0;1.0;0.15;0.09090909090909091;0.3783358940093491;0.0;8.0;1.0
0;0.86;0.0;0.0;0.0;0.0;8.0;1.0;0.5;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
0;0.86;0.0;0.0;0.0;0.0;29.0;1.0;0.7;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
1;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;21.0;1.0;1.0;0.185;0.09090909090909091;0.4666142692781971;0.0;13.0;1.0
1;0.64;0.0;0.0;0.0;0.0;5.0;1.0;0.8;0.06;0.5454545454545454;0.045629025641915635;0.0;5.0;1.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;18.0;1.0;1.0;0.23;0.18181818181818182;0.5032426228673008;0.0;39.5;1.0
0;0.86;0.02;0.1111111111111111;0.1313253027934062;0.0;31.0;1.0;0.8;0.2;0.09090909090909091;0.504447858679132;0.0;33.0;1.0
0;0.86;0.02;0.1111111111111111;0.1313253027934062;0.0;33.0;1.0;1.1;0.19;0.09090909090909091;0.4792254657451755;0.0;45.0;0.0
1;0.93;0.0;0.0;0.0;0.0;14.0;1.0;0.9;0.32;0.36363636363636365;0.5058217546197955;0.0;8.0;1.0
1;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;28.0;1.0;1.1;0.2;0.09090909090909091;0.504447858679132;0.0;32.0;0.0
1;0.86;0.01;0.1111111111111111;0.0656626513967031;0.0;10.0;1.0;0.9;0.3;0.36363636363636365;0.501919282061072;0.0;14.0;1.0
0;1.0;0.02;0.1111111111111111;0.1313253027934062;0.0;13.0;1.0;1.1;0.25;0.18181818181818182;0.4569868348304734;0.0;24.0;0.0
1;0.86;0.0;0.0;0.0;0.0;10.0;1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
1;0.79;0.0;0.0;0.0;0.0;0.0;1.0;1.1;0.16;0.36363636363636365;0.25359596446283195;0.0;14.0;0.0
0;0.86;0.01;0.1111111111111111;0.0656626513967031;0.0;26.0;1.0;1.1;0.2;0.09090909090909091;0.504447858679132;0.0;32.0;0.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.79;0.0;0.0;0.0;0.0;29.0;1.0;0.5;0.195;0.09090909090909091;0.4918366622121537;0.0;38.0;1.0
0;0.93;0.01;0.1111111111111111;0.0656626513967031;0.0;27.0;1.0;1.0;0.23;0.18181818181818182;0.5032426228673008;0.0;43.0;1.0
1;0.29;0.0;0.0;0.0;0.0;1.0;0.0;0.1;0.0;0.0;0.0;0.0;1.0;0.0
0;1.0;0.0;0.0;0.0;0.0;17.0;1.0;0.9;0.19;0.09090909090909091;0.4792254657451755;0.0;28.0;1.0
0;0.64;0.0;0.0;0.0;0.0;9.0;1.0;0.7;0.22;0.18181818181818182;0.502379969888262;0.0;30.0;1.0
1;0.86;0.0;0.0;0.0;0.0;3.0;1.0;0.8;0.185;0.09090909090909091;0.4666142692781971;0.0;33.0;1.0
0;1.0;0.03;0.3333333333333333;0.10587784399937923;0.0;34.0;1.0;1.0;0.22;0.18181818181818182;0.502379969888262;0.0;41.0;1.0
1;0.79;0.0;0.0;0.0;0.0;11.0;1.0;1.0;0.16;0.09090909090909091;0.4035582869433056;0.0;22.0;1.0
0;0.93;0.0;0.0;0.0;0.0;27.0;1.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;41.0;1.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;22.0;1.0;1.1;0.27;0.7272727272727273;0.4378564090200126;0.0;30.0;0.0
0;1.0;0.095;0.4444444444444444;0.2845802443827712;0.0;9.5;1.0;1.0;0.27;0.36363636363636365;0.49723077916334096;0.0;45.0;1.0
0;0.93;0.02;0.1111111111111111;0.1313253027934062;0.0;35.0;1.0;1.0;0.18;0.09090909090909091;0.4540030728112188;0.0;21.0;1.0
1;0.93;0.0;0.0;0.0;0.0;12.0;1.0;0.7;0.0;0.0;0.0;0.0;6.0;0.0
0;1.0;0.0;0.0;0.0;0.0;26.0;1.0;1.0;0.21;0.18181818181818182;0.45342947425897584;0.0;33.0;1.0
0;0.86;0.0;0.0;0.0;0.0;34.0;1.0;0.9;0.15;0.09090909090909091;0.3783358940093491;0.0;30.0;1.0
1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.1;0.0;0.0;0.0;0.0;0.0;1.0
1;1.0;0.02;0.1111111111111111;0.1313253027934062;0.0;30.0;1.0;1.0;0.17;0.09090909090909091;0.4287806798772622;0.0;0.0;1.0
0;1.0;0.0;0.0;0.0;0.0;30.0;1.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;42.0;1.0
0;0.93;0.02;0.1111111111111111;0.1313253027934062;0.0;32.0;1.0;1.0;0.19;0.09090909090909091;0.4792254657451755;0.0;41.0;1.0
0;1.0;0.0;0.0;0.0;0.0;22.0;0.0;0.7;0.2;0.09090909090909091;0.504447858679132;0.0;37.0;1.0
1;0.79;0.0;0.0;0.0;0.0;4.0;1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
1;0.5;0.015;0.1111111111111111;0.09849397709505464;0.0;3.0;1.0;0.6;0.13;0.18181818181818182;0.2566562276228786;0.0;15.0;1.0
0;0.79;0.0;0.0;0.0;0.0;30.0;0.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;32.0;1.0
1;0.64;0.0;0.0;0.0;0.0;18.0;1.0;1.0;0.08;0.09090909090909091;0.2017791434716528;0.0;6.0;1.0
0;1.0;0.0;0.0;0.0;0.0;35.0;1.0;1.0;0.23;0.36363636363636365;0.4990882902937106;0.0;37.0;1.0
0;0.93;0.0;0.0;0.0;0.0;22.0;1.0;1.0;0.24;0.2727272727272727;0.45780869740946;0.0;30.0;1.0
1;0.57;0.0;0.0;0.0;0.0;7.0;1.0;0.4;0.01;0.09090909090909091;0.0252223929339566;0.0;0.0;0.0
0;0.93;0.02;0.1111111111111111;0.1313253027934062;0.0;34.0;1.0;1.1;0.2;0.09090909090909091;0.504447858679132;0.0;24.0;0.0
0;0.93;0.063;0.3333333333333333;0.22255021943926132;0.0;12.0;1.0;1.0;0.247;0.2727272727272727;0.50181499277134;0.0;33.0;1.0
1;0.57;0.0;0.0;0.0;0.0;20.0;1.0;0.7;0.15;0.09090909090909091;0.3783358940093491;0.0;24.0;1.0
1;0.93;0.0;0.0;0.0;0.0;0.0;1.0;0.6;0.0;0.0;0.0;0.0;2.0;1.0
1;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0
1;0.71;0.018000000000000002;0.2222222222222222;0.08130864125222032;0.0;15.0;1.0;0.7;0.1;0.09090909090909091;0.252223929339566;0.0;22.5;1.0
0;0.71;0.019;0.1111111111111111;0.1247590376537359;0.0;4.0;1.0;0.7;0.151;0.36363636363636365;0.2277328269528173;0.0;40.0;1.0
0;1.0;0.0;0.0;0.0;0.0;19.0;1.0;1.1;0.205;0.18181818181818182;0.4409986249100076;0.0;28.0;0.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;12.0;1.0;1.1;0.25;0.18181818181818182;0.47192904171627853;0.0;38.0;0.0
1;0.43;0.0;0.0;0.0;0.0;0.0;1.0;0.2;0.02;0.18181818181818182;0.03400986769413478;0.0;0.0;1.0
0;0.57;0.0;0.0;0.0;0.0;17.0;0.0;0.6;0.2;0.09090909090909091;0.504447858679132;0.0;16.0;1.0
1;1.0;0.01;0.1111111111111111;0.5250275455071357;0.0;11.0;1.0;1.1;0.04;0.09090909090909091;0.1008895717358264;0.0;8.0;0.0
0;0.71;0.07;0.2222222222222222;0.34537972071375356;0.0;14.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;21.0;1.0
0;1.0;0.0;0.0;0.0;0.0;6.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;44.0;1.0
0;0.57;0.078;0.4444444444444444;0.243925923756661;0.0;8.0;1.0;0.7;0.213;0.18181818181818182;0.5025290270745115;0.0;23.9;1.0
0;0.71;0.0;0.0;0.0;0.0;24.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;38.0;0.0
0;1.0;0.01;0.1111111111111111;0.0656626513967031;0.0;32.0;1.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;40.0;1.0
0;0.86;0.02;0.1111111111111111;0.1313253027934062;0.0;21.0;1.0;0.9;0.28;0.36363636363636365;0.45374822964052913;0.0;33.0;1.0
0;0.79;0.04;0.4444444444444444;0.11746092168471971;0.01;35.0;1.0;1.0;0.25;0.5454545454545454;0.49489908622489703;0.0;35.0;0.0
0;0.71;0.0;0.0;0.0;0.0;29.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
0;1.0;0.13299999999999998;0.6666666666666666;0.29555974344130004;0.0;11.0;1.0;1.0;0.257;0.36363636363636365;0.5015383194791428;0.0;26.0;1.0
0;0.93;0.0;0.0;0.0;0.0;29.0;1.0;1.0;0.24;0.2727272727272727;0.4998409324211767;0.0;24.0;1.0
0;1.0;0.0;0.0;0.0;0.0;28.0;1.0;1.0;0.27;0.36363636363636365;0.3652697790004587;0.0;21.0;1.0
1;1.0;0.0;0.0;0.0;0.0;8.0;1.0;1.0;0.25;0.2727272727272727;0.5032426228673009;0.0;8.0;1.0
0;1.0;0.06;0.4444444444444444;0.21175568799875846;0.01;15.0;1.0;1.0;0.25;0.4545454545454546;0.49629941654904763;0.0;45.0;1.0
0;0.64;0.0;0.0;0.0;0.0;18.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;34.0;1.0
1;0.43;0.0;0.0;0.5909638625703278;0.0;0.0;0.0;0.4;0.17;0.18181818181818182;0.31713175841404384;0.0;0.0;0.0
1;0.79;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
0;1.0;0.02;0.2222222222222222;0.08971226080325133;0.0;16.0;1.0;0.7;0.12;0.09090909090909091;0.30266871520747923;0.0;21.0;1.0
0;1.0;0.134;0.6666666666666666;0.6649349934836252;0.0;10.0;1.0;0.9;0.257;0.36363636363636365;0.5015383194791428;0.0;26.9;1.0
0;0.79;0.0;0.0;0.0;0.0;26.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
0;1.0;0.05;0.5555555555555556;0.12573440482871626;0.0;35.0;1.0;0.9;0.24;0.36363636363636365;0.49845055161267926;0.0;36.0;0.0
0;0.71;0.0;0.0;0.0;0.0;30.0;1.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;26.0;1.0
1;0.64;0.0;0.0;0.0;0.0;7.0;1.0;0.4;0.18;0.09090909090909091;0.4540030728112188;0.0;1.0;1.0
0;1.0;0.0;0.0;0.0;0.0;35.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;36.0;1.0
0;0.86;0.045;0.2222222222222222;0.20327160313055082;0.0;35.0;1.0;1.0;0.22;0.18181818181818182;0.502379969888262;0.0;32.0;0.0
1;0.79;0.025;0.2222222222222222;0.11467489068997239;0.0;0.0;1.0;0.3;0.0;0.0;0.0;0.0;3.0;1.0
0;1.0;0.07;0.5555555555555556;0.1910621436657908;0.0;33.0;1.0;1.0;0.27;0.6363636363636364;0.46551297585810403;0.0;33.0;1.0
1;0.86;0.01;0.1111111111111111;0.0656626513967031;0.0;19.0;1.0;0.7;0.0;0.0;0.0;0.0;36.0;0.0
1;0.71;0.0;0.0;0.0;0.0;27.0;1.0;0.9;0.1;0.09090909090909091;0.252223929339566;0.0;17.0;0.0
1;1.0;0.0;0.0;0.0;0.0;4.0;1.0;0.8;0.17;0.09090909090909091;0.4287806798772622;0.0;18.5;1.0
0;0.64;0.0;0.0;0.0;0.0;12.0;1.0;0.9;0.2;0.09090909090909091;0.504447858679132;0.0;32.0;1.0
0;0.86;0.0;0.0;0.0;0.0;29.0;1.0;0.6;0.2;0.09090909090909091;0.504447858679132;0.0;27.0;1.0
1;0.21;0.0;0.0;0.0;0.0;15.0;1.0;0.7;0.0;0.0;0.0;0.0;0.0;0.0
1;1.0;0.0;0.0;0.0;0.0;7.0;1.0;1.0;0.16;0.09090909090909091;0.4035582869433056;0.0;13.0;1.0
0;0.64;0.04;0.1111111111111111;0.2626506055868124;0.0;32.6;1.0;0.8;0.2;0.09090909090909091;0.504447858679132;0.0;4.4;1.0
1;0.79;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.18;0.09090909090909091;0.4540030728112188;0.0;7.0;1.0
1;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0
0;0.93;0.05;0.3333333333333333;0.18494656360238212;0.0;4.0;1.0;0.6;0.113;0.36363636363636365;0.13902300440940366;0.0;40.7;1.0
1;0.21;0.0;0.0;0.0;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0;1.0
0;1.0;0.065;0.3333333333333333;0.2763817880854003;0.0;29.5;1.0;0.9;0.19;0.18181818181818182;0.40377319329755074;0.0;16.0;1.0
0;0.71;0.0;0.0;0.0;0.0;17.0;1.0;0.9;0.19;0.09090909090909091;0.4321588572524033;0.005;39.0;1.0
1;0.64;0.01;0.2222222222222222;0.9815779425281687;0.0;20.0;1.0;1.0;0.15;0.36363636363636365;0.32452257811611646;0.0;18.0;1.0
1;0.86;0.03;0.1111111111111111;0.19698795419010928;0.0;3.0;1.0;0.9;0.0;0.0;0.0;0.0;0.0;1.0
0;1.0;0.02;0.1111111111111111;0.1313253027934062;0.0;28.0;1.0;1.1;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;0.0
0;1.0;0.0;0.0;0.0;0.0;29.0;1.0;0.5;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
0;1.0;0.19;0.8888888888888888;0.38023910421275825;0.005;18.0;1.0;1.0;0.195;0.7272727272727273;0.3693438748967896;0.0;23.0;1.0
0;0.79;0.02;0.1111111111111111;0.1313253027934062;0.0;34.0;1.0;1.0;0.1;0.09090909090909091;0.252223929339566;0.0;35.0;0.0
1;0.93;0.01;0.1111111111111111;0.0656626513967031;0.0;14.0;1.0;1.1;0.18;0.09090909090909091;0.4540030728112188;0.0;0.0;0.0
0;0.93;0.0;0.0;0.0;0.0;35.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;45.0;1.0
0;0.86;0.02;0.1111111111111111;0.1313253027934062;0.0;29.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;40.0;1.0
0;1.0;0.02;0.1111111111111111;0.1313253027934062;0.0;30.0;1.0;1.0;0.2;0.09090909090909091;0.504447858679132;0.0;40.0;1.0
0;0.93;0.01;0.1111111111111111;0.0656626513967031;0.0;7.0;1.0;1.0;0.34;0.36363636363636365;0.5065073050874904;0.0;20.0;1.0
1;0.5;0.0;0.0;0.0;0.0;14.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
