Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;0;0.93;0.16;0.52;0.12;1.0;0.06;0.26;0.12;0.43;0.1;0.43;0.12
1.0;0;1.0;0.035;0.11;0.0738;1.0;0.012;0.05;0.0449;1.0;0.0;0.0;0.075
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;1.0;0.15;0.48;0.11699999999999999;1.0;0.06;0.26;0.11800000000000001;1.0;0.08;0.35;0.155
0.0;0;0.86;0.16;0.52;0.044800000000000006;0.5;0.06;0.26;0.1008;1.0;0.08;0.35;0.15
1.0;0;0.5;0.02;0.06;0.011000000000000001;0.25;0.0;0.0;0.0271;0.43;0.0;0.0;0.0
1.0;1;0.64;0.07;0.23;0.01;0.75;0.0;0.0;0.0;0.71;0.06;0.26;0.0
0.0;0;1.0;0.14;0.45;0.1394;1.0;0.06;0.26;0.1317;1.0;0.1;0.43;0.1427
1.0;0;0.71;0.1;0.32;0.11;0.5;0.03;0.13;0.12;1.0;0.06;0.26;0.14
0.0;0;0.86;0.1595;0.51;0.161;0.75;0.09449999999999999;0.41;0.195;1.0;0.132;0.57;0.17
0.0;0;0.43;0.0;0.0;0.039;0.75;0.03;0.13;0.0;0.29;0.05;0.22;0.024
0.0;0;0.79;0.16;0.52;0.2;1.0;0.0911;0.4;0.16;1.0;0.13;0.56;0.106
1.0;1;1.0;0.11;0.35;0.0525;1.0;0.06;0.26;0.1;1.0;0.1;0.43;0.1193
1.0;0;0.79;0.16;0.52;0.12;0.5;0.06;0.26;0.09;0.86;0.11;0.48;0.16
1.0;0;1.0;0.14;0.45;0.15;0.75;0.04;0.17;0.19;1.0;0.1;0.43;0.2
1.0;0;0.86;0.16;0.52;0.12;1.0;0.06;0.26;0.12;1.0;0.1;0.43;0.14429999999999998
0.0;1;0.79;0.04;0.13;0.06;0.5;0.01;0.04;0.02;0.57;0.0;0.0;0.04
1.0;0;0.93;0.15;0.48;0.01;1.0;0.13;0.56;0.05;1.0;0.16;0.69;0.07
1.0;0;1.0;0.15;0.48;0.145;1.0;0.04;0.17;0.17800000000000002;1.0;0.07;0.3;0.1605
1.0;0;0.0;0.0;0.0;0.0;0.5;0.004;0.02;0.0;0.0;0.0;0.0;0.0
1.0;0;0.93;0.13;0.42;0.09;0.5;0.07;0.3;0.15;0.86;0.1;0.43;0.15
1.0;0;0.86;0.055999999999999994;0.18;0.0208;1.0;0.023;0.1;0.02;0.29;0.0;0.0;0.0
1.0;0;0.71;0.16;0.52;0.0425;1.0;0.06;0.26;0.0791;0.71;0.1;0.43;0.1233
0.0;1;0.64;0.022000000000000002;0.07;0.005;0.5;0.01;0.04;0.034;0.29;0.015;0.06;0.0
0.0;0;0.71;0.16;0.52;0.0784;0.75;0.06;0.26;0.0663;1.0;0.1;0.43;0.0733
1.0;1;0.71;0.16;0.52;0.0225;0.75;0.06;0.26;0.0;0.86;0.07;0.3;0.06
1.0;0;1.0;0.163;0.53;0.086;1.0;0.02;0.09;0.1233;1.0;0.0;0.0;0.145
1.0;0;0.79;0.13;0.42;0.11;0.25;0.01;0.04;0.14;1.0;0.08;0.35;0.15
1.0;1;0.5;0.040999999999999995;0.13;0.069;1.0;0.027000000000000003;0.12;0.1;0.57;0.022000000000000002;0.1;0.0
0.0;1;0.14;0.03;0.1;0.005;0.25;0.04;0.17;0.02;0.71;0.0;0.0;0.03
1.0;0;0.79;0.16;0.52;0.132;1.0;0.06;0.26;0.15689999999999998;0.86;0.1;0.43;0.15
0.0;0;0.93;0.18600000000000003;0.6;0.0842;1.0;0.06;0.26;0.14800000000000002;0.71;0.12;0.52;0.129
0.0;0;0.86;0.14;0.45;0.09910000000000001;0.5;0.04;0.17;0.0;0.71;0.1;0.43;0.0333
0.0;0;0.79;0.16;0.52;0.102;1.0;0.05;0.22;0.13;0.57;0.09;0.39;0.0683
1.0;0;1.0;0.14800000000000002;0.48;0.13;1.0;0.05;0.22;0.107;1.0;0.06;0.26;0.1635
1.0;0;0.86;0.12;0.39;0.09880000000000001;0.75;0.02;0.09;0.142;0.57;0.0;0.0;0.0
1.0;0;1.0;0.12;0.39;0.06;1.0;0.02;0.09;0.1;0.86;0.04;0.17;0.1
1.0;0;0.86;0.16;0.52;0.1693;1.0;0.05;0.22;0.09140000000000001;0.86;0.1;0.43;0.14800000000000002
1.0;1;0.57;0.06;0.19;0.02;0.75;0.03;0.13;0.0;0.43;0.0;0.0;0.0
1.0;0;0.86;0.14;0.45;0.2;1.0;0.076;0.33;0.198;0.86;0.13;0.56;0.0
1.0;0;0.57;0.06;0.19;0.044000000000000004;1.0;0.04;0.17;0.0454;0.57;0.05;0.22;0.11699999999999999
1.0;0;1.0;0.13;0.42;0.2;0.25;0.05;0.22;0.2;0.86;0.09;0.39;0.19
1.0;0;0.64;0.11;0.35;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.43;0.07;0.23;0.06;0.25;0.12;0.52;0.0;0.29;0.08;0.35;0.09
1.0;0;1.0;0.09;0.29;0.11;1.0;0.03;0.13;0.07;1.0;0.02;0.09;0.07
1.0;0;1.0;0.08;0.26;0.06;0.5;0.02;0.09;0.16;0.57;0.05;0.22;0.16
1.0;1;0.64;0.11;0.35;0.0322;1.0;0.01;0.04;0.0;0.14;0.02;0.09;0.0
0.0;0;0.79;0.19;0.61;0.0212;1.0;0.06;0.26;0.0533;0.86;0.105;0.45;0.113
1.0;1;0.93;0.15;0.48;0.01;1.0;0.02;0.09;0.02;1.0;0.09;0.39;0.0
1.0;1;0.07;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.86;0.0;0.0;0.0
0.0;0;0.57;0.16;0.52;0.2;0.75;0.08;0.35;0.1;0.43;0.09;0.39;0.03
1.0;0;0.86;0.139;0.45;0.158;0.5;0.096;0.42;0.16899999999999998;1.0;0.135;0.58;0.13
0.0;1;0.79;0.05;0.16;0.05;1.0;0.03;0.13;0.07;1.0;0.04;0.17;0.11
1.0;0;1.0;0.1215;0.39;0.141;1.0;0.0645;0.28;0.099;0.71;0.092;0.4;0.133
1.0;0;1.0;0.15;0.48;0.1;0.75;0.05;0.22;0.14;1.0;0.1;0.43;0.15
0.0;0;0.79;0.075;0.24;0.1;0.5;0.06;0.26;0.07;0.71;0.11;0.48;0.09
0.0;0;1.0;0.155;0.5;0.1387;1.0;0.06;0.26;0.16570000000000001;1.0;0.09;0.39;0.185
1.0;0;0.79;0.040999999999999995;0.13;0.0383;1.0;0.03;0.13;0.08;1.0;0.0;0.0;0.055
0.0;0;0.43;0.09;0.29;0.12;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;0.86;0.16;0.52;0.1766;1.0;0.06;0.26;0.16390000000000002;0.57;0.08;0.35;0.138
1.0;0;0.79;0.08;0.26;0.025;1.0;0.05;0.22;0.03;1.0;0.075;0.32;0.0783
1.0;0;1.0;0.126;0.41;0.1795;1.0;0.059000000000000004;0.26;0.1885;1.0;0.1;0.43;0.191
1.0;1;0.93;0.13;0.42;0.01;0.75;0.0;0.0;0.0;0.43;0.07;0.3;0.0
1.0;0;0.71;0.16;0.52;0.12;1.0;0.06;0.26;0.13;0.71;0.1;0.43;0.12300000000000001
1.0;0;0.86;0.13;0.42;0.1417;1.0;0.06;0.26;0.1787;1.0;0.1;0.43;0.163
1.0;0;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.93;0.16;0.52;0.1276;1.0;0.06;0.26;0.1174;1.0;0.1;0.43;0.08529999999999999
1.0;0;0.86;0.14;0.45;0.14;1.0;0.06;0.26;0.18;1.0;0.09;0.39;0.17
1.0;0;0.71;0.09;0.29;0.0165;0.75;0.0;0.0;0.0633;0.43;0.0;0.0;0.02
1.0;0;0.86;0.11;0.35;0.1576;1.0;0.06;0.26;0.1436;0.57;0.1;0.43;0.2
1.0;0;0.71;0.16;0.52;0.1165;1.0;0.06;0.26;0.1233;0.86;0.1;0.43;0.1202
1.0;1;0.93;0.09;0.29;0.030600000000000002;0.5;0.0;0.0;0.0667;0.43;0.0;0.0;0.0
1.0;0;1.0;0.16;0.52;0.12;1.0;0.06;0.26;0.08;0.86;0.1;0.43;0.09
1.0;0;0.86;0.1;0.32;0.11;1.0;0.03;0.13;0.16;1.0;0.06;0.26;0.19
1.0;0;0.86;0.135;0.44;0.1341;1.0;0.11;0.48;0.1258;1.0;0.1;0.43;0.156
1.0;0;0.93;0.16;0.52;0.07200000000000001;1.0;0.06;0.26;0.085;1.0;0.1;0.43;0.0557
1.0;0;0.93;0.175;0.56;0.13;1.0;0.02;0.09;0.08;1.0;0.03;0.13;0.11
1.0;0;0.86;0.09;0.29;0.06;1.0;0.04;0.17;0.15;1.0;0.08;0.35;0.18
1.0;0;1.0;0.128;0.41;0.064;1.0;0.025;0.11;0.066;0.71;0.037000000000000005;0.16;0.1
1.0;0;0.93;0.11;0.35;0.1;0.25;0.02;0.09;0.16;1.0;0.07;0.3;0.18
1.0;1;0.57;0.07;0.23;0.03;0.5;0.04;0.17;0.0;0.71;0.01;0.04;0.04
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.155;0.5;0.17120000000000002;1.0;0.04;0.17;0.17120000000000002;1.0;0.1;0.43;0.191
1.0;0;0.57;0.1235;0.4;0.147;1.0;0.0935;0.41;0.18899999999999997;1.0;0.08599999999999998;0.37;0.2
1.0;0;0.79;0.16;0.52;0.172;0.75;0.06;0.26;0.2;0.57;0.12;0.52;0.165
1.0;0;0.86;0.16;0.52;0.12;0.5;0.06;0.26;0.12;1.0;0.1;0.43;0.135
1.0;0;0.79;0.12;0.39;0.1072;0.5;0.0;0.0;0.0;0.29;0.02;0.09;0.06
1.0;1;0.64;0.06;0.19;0.0;0.5;0.01;0.04;0.12;0.43;0.0;0.0;0.01
0.0;0;0.43;0.14;0.45;0.09119999999999999;1.0;0.06;0.26;0.1274;0.86;0.1;0.43;0.177
1.0;1;0.57;0.14;0.45;0.05;1.0;0.02;0.09;0.02;0.57;0.09;0.39;0.0
1.0;0;0.93;0.15;0.48;0.04;1.0;0.1;0.43;0.01;1.0;0.19;0.82;0.0
1.0;0;0.79;0.14;0.45;0.1076;1.0;0.049;0.21;0.11900000000000001;0.86;0.085;0.37;0.0983
1.0;1;0.71;0.02;0.06;0.0333;0.25;0.0;0.0;0.06709999999999999;0.14;0.0;0.0;0.0
0.0;0;0.71;0.09;0.29;0.15;1.0;0.09;0.39;0.14;1.0;0.09;0.39;0.15
1.0;0;0.71;0.02;0.06;0.09;1.0;0.02;0.09;0.13;0.71;0.0;0.0;0.09
0.0;0;0.5;0.183;0.59;0.10099999999999999;0.75;0.02;0.09;0.1092;1.0;0.042;0.18;0.17800000000000002
1.0;1;0.86;0.019000000000000003;0.06;0.0;1.0;0.015;0.07;0.01;1.0;0.049;0.21;0.02
1.0;1;0.79;0.035;0.11;0.0334;0.75;0.0;0.0;0.0774;0.43;0.0;0.0;0.1035
0.0;0;0.86;0.1;0.32;0.1155;1.0;0.03;0.13;0.08;0.71;0.034;0.15;0.079
0.0;0;0.64;0.03;0.1;0.05;0.25;0.04;0.17;0.11;0.71;0.02;0.09;0.13
0.0;0;1.0;0.16;0.52;0.11;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.09
1.0;0;0.86;0.16;0.52;0.1588;1.0;0.06;0.26;0.13970000000000002;0.71;0.08;0.35;0.2
1.0;1;0.71;0.11;0.35;0.05;0.75;0.02;0.09;0.0;0.14;0.0;0.0;0.0
1.0;1;0.29;0.0;0.0;0.0;0.0;0.02;0.09;0.0;0.43;0.15;0.65;0.0
1.0;0;1.0;0.12;0.39;0.1373;0.75;0.0;0.0;0.1192;0.86;0.03;0.13;0.0915
0.0;0;0.71;0.18;0.58;0.166;1.0;0.06;0.26;0.11199999999999999;0.86;0.1;0.43;0.1346
0.0;1;1.0;0.09;0.29;0.04;1.0;0.02;0.09;0.06;1.0;0.09;0.39;0.06
0.0;0;0.71;0.12;0.39;0.12;0.75;0.02;0.09;0.1;0.86;0.05;0.22;0.13
0.0;0;0.71;0.153;0.49;0.0812;0.5;0.03;0.13;0.11230000000000001;0.71;0.11;0.48;0.1115
0.0;0;0.79;0.1165;0.38;0.098;1.0;0.0565;0.25;0.107;1.0;0.126;0.55;0.11900000000000001
1.0;0;0.71;0.055999999999999994;0.18;0.1333;0.75;0.037000000000000005;0.16;0.16699999999999998;0.86;0.048;0.21;0.1542
1.0;0;1.0;0.16;0.52;0.17;1.0;0.06;0.26;0.2;1.0;0.1;0.43;0.19
0.0;0;0.71;0.15;0.48;0.1142;1.0;0.07400000000000001;0.32;0.0984;0.86;0.13;0.56;0.1377
0.0;0;0.93;0.11;0.35;0.11;1.0;0.05;0.22;0.11;1.0;0.09;0.39;0.13
1.0;0;0.93;0.098;0.32;0.0825;1.0;0.055;0.24;0.09029999999999999;1.0;0.07200000000000001;0.31;0.182
1.0;0;0.93;0.035;0.11;0.0258;1.0;0.0;0.0;0.06;1.0;0.0;0.0;0.02
1.0;0;0.93;0.049;0.16;0.0264;1.0;0.019;0.08;0.034;1.0;0.02;0.09;0.0358
0.0;0;0.93;0.16;0.52;0.17;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.17
1.0;0;0.86;0.13;0.42;0.15;1.0;0.04;0.17;0.14;1.0;0.09;0.39;0.09
1.0;0;0.79;0.04;0.13;0.1288;0.5;0.0;0.0;0.19;0.86;0.08;0.35;0.1317
1.0;0;0.79;0.08;0.26;0.0944;1.0;0.0;0.0;0.0814;0.43;0.02;0.09;0.09
0.0;1;0.86;0.04;0.13;0.057300000000000004;1.0;0.02;0.09;0.102;0.86;0.0;0.0;0.12
0.0;1;0.86;0.1;0.32;0.09;1.0;0.05;0.22;0.05;0.86;0.04;0.17;0.04
0.0;0;0.93;0.16;0.52;0.11;1.0;0.06;0.26;0.131;1.0;0.1;0.43;0.165
0.0;0;0.86;0.12;0.39;0.1;1.0;0.07;0.3;0.08;0.86;0.1;0.43;0.15
0.0;0;0.43;0.16;0.52;0.1297;0.5;0.06;0.26;0.1173;0.71;0.06;0.26;0.1387
1.0;1;0.71;0.1;0.32;0.05;0.75;0.01;0.04;0.0;0.43;0.0;0.0;0.02
1.0;0;1.0;0.26;0.84;0.04;1.0;0.06;0.26;0.03;0.86;0.19;0.82;0.1
1.0;1;0.21;0.02;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.15;0.48;0.1038;1.0;0.06;0.26;0.1125;0.71;0.128;0.55;0.11
1.0;1;0.79;0.04;0.13;0.0529;1.0;0.02;0.09;0.024;0.29;0.0;0.0;0.0
1.0;1;0.43;0.0;0.0;0.06;0.25;0.0;0.0;0.05;0.43;0.0;0.0;0.03
0.0;0;0.93;0.16;0.52;0.1104;1.0;0.06;0.26;0.1634;1.0;0.1;0.43;0.177
1.0;0;0.57;0.18;0.58;0.11;0.75;0.06;0.26;0.13;0.43;0.02;0.09;0.13
1.0;1;1.0;0.06;0.19;0.02;0.75;0.02;0.09;0.11;1.0;0.02;0.09;0.08
1.0;0;0.93;0.125;0.4;0.085;0.5;0.0;0.0;0.11599999999999999;0.71;0.0;0.0;0.05
1.0;1;0.71;0.085;0.27;0.0;1.0;0.069;0.3;0.11800000000000001;0.71;0.115;0.5;0.132
1.0;0;0.57;0.11;0.35;0.05;0.75;0.13449999999999998;0.58;0.17679999999999998;0.57;0.06;0.26;0.1945
1.0;0;0.86;0.035;0.11;0.037000000000000005;1.0;0.0;0.0;0.05;0.71;0.0;0.0;0.0
1.0;0;0.93;0.02;0.06;0.13;0.5;0.03;0.13;0.12;1.0;0.11;0.48;0.1
0.0;1;0.64;0.077;0.25;0.0;0.75;0.048;0.21;0.0;0.57;0.008;0.03;0.0
1.0;0;0.29;0.0;0.0;0.0;0.0;0.03;0.13;0.01;0.86;0.07;0.3;0.0
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.71;0.16;0.52;0.0535;0.5;0.06;0.26;0.092;0.43;0.1;0.43;0.067
0.0;0;0.21;0.068;0.22;0.10099999999999999;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.93;0.198;0.64;0.157;1.0;0.055;0.24;0.095;0.71;0.184;0.8;0.163
0.0;0;0.86;0.14;0.45;0.0709;1.0;0.06;0.26;0.1341;1.0;0.1;0.43;0.145
1.0;1;0.71;0.045;0.15;0.147;1.0;0.04;0.17;0.0341;0.57;0.02;0.09;0.106
1.0;1;1.0;0.067;0.22;0.016;1.0;0.042;0.18;0.05;1.0;0.044000000000000004;0.19;0.057
0.0;0;1.0;0.16;0.52;0.14300000000000002;1.0;0.06;0.26;0.1734;1.0;0.1;0.43;0.195
0.0;0;0.57;0.13;0.42;0.1165;0.75;0.06;0.26;0.0;0.29;0.1;0.43;0.15869999999999998
1.0;0;0.93;0.07;0.23;0.069;1.0;0.03;0.13;0.131;1.0;0.078;0.34;0.09
0.0;1;0.86;0.04;0.13;0.0;0.5;0.04;0.17;0.0;0.0;0.0;0.0;0.0
1.0;0;0.79;0.15;0.48;0.16519999999999999;1.0;0.04;0.17;0.0857;0.71;0.02;0.09;0.1213
0.0;0;0.93;0.1255;0.4;0.11;1.0;0.1015;0.44;0.10099999999999999;1.0;0.155;0.67;0.14
0.0;0;0.86;0.136;0.44;0.16;1.0;0.06;0.26;0.18;1.0;0.08;0.35;0.17
1.0;0;0.86;0.16;0.52;0.15;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.18
1.0;0;0.86;0.03;0.1;0.0359;0.5;0.028999999999999998;0.13;0.0508;0.57;0.0;0.0;0.0433
0.0;0;0.29;0.0055000000000000005;0.02;0.048;0.25;0.0225;0.1;0.098;0.71;0.077;0.33;0.0
1.0;0;0.71;0.06;0.19;0.08;0.25;0.0;0.0;0.09;0.71;0.0;0.0;0.08
0.0;0;1.0;0.2;0.65;0.13;1.0;0.06;0.26;0.14;1.0;0.14;0.61;0.16
1.0;0;0.86;0.14;0.45;0.1592;0.5;0.03;0.13;0.1514;0.86;0.02;0.09;0.1572
1.0;1;0.79;0.16799999999999998;0.54;0.078;0.75;0.055;0.24;0.0;0.57;0.062;0.27;0.16
1.0;0;1.0;0.12;0.39;0.05;1.0;0.04;0.17;0.08;1.0;0.1;0.43;0.13
1.0;0;0.5;0.16;0.52;0.12;1.0;0.06;0.26;0.12;0.29;0.1;0.43;0.12
0.0;0;0.93;0.15;0.48;0.0678;1.0;0.06;0.26;0.08;0.29;0.06;0.26;0.15869999999999998
1.0;1;0.57;0.04;0.13;0.08;1.0;0.02;0.09;0.08;0.14;0.0;0.0;0.04
0.0;0;1.0;0.16;0.52;0.12;1.0;0.13;0.56;0.15;1.0;0.1;0.43;0.15
1.0;0;0.71;0.16;0.52;0.094;1.0;0.04;0.17;0.1323;1.0;0.06;0.26;0.052300000000000006
1.0;0;1.0;0.145;0.47;0.16699999999999998;0.75;0.09;0.39;0.1534;1.0;0.1;0.43;0.17329999999999998
1.0;0;0.86;0.14;0.45;0.1414;1.0;0.04;0.17;0.135;0.71;0.06;0.26;0.17350000000000002
1.0;0;1.0;0.16;0.52;0.1153;1.0;0.06;0.26;0.1536;1.0;0.10099999999999999;0.44;0.1575
0.0;0;0.71;0.14;0.45;0.0817;0.25;0.04;0.17;0.0733;0.43;0.0;0.0;0.1
1.0;0;0.57;0.14;0.45;0.1185;0.5;0.06;0.26;0.11349999999999999;1.0;0.08;0.35;0.165
1.0;0;0.79;0.133;0.43;0.154;1.0;0.051;0.22;0.16399999999999998;1.0;0.14;0.61;0.14
0.0;1;1.0;0.109;0.35;0.087;1.0;0.08;0.35;0.08199999999999999;0.71;0.068;0.29;0.095
1.0;0;0.93;0.17;0.55;0.17;1.0;0.04;0.17;0.2;1.0;0.1;0.43;0.14400000000000002
1.0;0;1.0;0.09899999999999999;0.32;0.142;1.0;0.09699999999999999;0.42;0.162;1.0;0.09699999999999999;0.42;0.162
1.0;0;0.86;0.162;0.52;0.14400000000000002;1.0;0.055;0.24;0.085;0.71;0.11599999999999999;0.5;0.152
1.0;1;0.5;0.1;0.32;0.06;1.0;0.02;0.09;0.09;0.29;0.0;0.0;0.06
1.0;0;0.79;0.17;0.55;0.126;0.5;0.06;0.26;0.1507;0.86;0.15;0.65;0.18
0.0;0;0.57;0.0;0.0;0.001;0.25;0.0;0.0;0.0;0.29;0.0;0.0;0.0
0.0;0;1.0;0.13;0.42;0.13;1.0;0.06;0.26;0.12;1.0;0.07;0.3;0.17
1.0;0;1.0;0.16;0.52;0.12;1.0;0.06;0.26;0.12;1.0;0.1;0.43;0.12
0.0;0;0.86;0.16;0.52;0.1743;0.25;0.06;0.26;0.2;0.57;0.1;0.43;0.195
0.0;0;1.0;0.14;0.45;0.11;1.0;0.05;0.22;0.16;1.0;0.1;0.43;0.17
1.0;0;1.0;0.13;0.42;0.1108;0.5;0.02;0.09;0.19469999999999998;1.0;0.02;0.09;0.17800000000000002
0.0;0;0.64;0.18;0.58;0.18;0.75;0.06;0.26;0.2;0.43;0.12;0.52;0.19
0.0;0;0.86;0.12;0.39;0.04;1.0;0.06;0.26;0.11;1.0;0.13;0.56;0.07
1.0;1;0.79;0.0995;0.32;0.105;1.0;0.0565;0.25;0.08199999999999999;0.86;0.052000000000000005;0.23;0.08199999999999999
